ip (hidden),IsHoneypot_new,IsCloud_old,modbusErrorRequestTime (ms),modbusReadRegister,isp_Shodan,org_Shodan,ISP_conclusion,OS_old,OS_accuracy,os_Shodan,tags_Shodan,OS_conclusion,OpenPortNum,hopNum,IpwhoisNetsDescription,domains_Shodan,hostnames_Shodan,city,country,latitude,longitude,vulns
254,unknown,FALSE,88.40699983,25|0|88,,,telecom,Linux 4.0,93,,,Linux,2,24,LNAUB656 Aubervilliers Bloc 1,,,Meaux,France,48.9636,2.8824,
255,unknown,FALSE,248.1589999,307|65434|65503,,,telecom,,,,,unknown,0,28,LNPUT657 Puteaux Bloc 1,,,,France,48.8582,2.3387,
256,ICS,FALSE,87.20099998,25|2|88,,,telecom,Belkin OmniView KVM switch or SMA Sunny WebBox solar panel monitor,100,,,ICS,1,22,LNSTL658 Saint Lambert bloc 2,,,,France,48.8582,2.3387,
257,ICS,FALSE,93.44399977,25|2|88,,,telecom,,,,,unknown,0,30,LNAUB656 Aubervilliers Bloc 1,,,,France,48.8582,2.3387,
258,unknown,FALSE,92.52199984,338|120|35,,,telecom,,,,,unknown,0,22,LNPUT656 Puteaux Bloc 1,,,,France,48.8582,2.3387,
259,unknown,FALSE,87.74399996,139|65535|65535,,,telecom,Linux 2.6.9 - 2.6.27,100,,,Linux,2,30,LNPUT657 Puteaux Bloc 2,,,,France,48.8582,2.3387,
260,other,FALSE,94.64199996,25|2|88,,,industry,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,94,,,proprietary,0,22,"(0020350A) Wastewater machines, Samara",,,Moscow,Russia,55.752,37.615,
261,other,FALSE,95.1099999,25|2|88,,,unknown,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,94,,,proprietary,0,22,"(0020350A) Wastewater machines, Samara",,,Moscow,Russia,55.752,37.615,
262,other,FALSE,95.55300021,25|2|88,,,unknown,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,94,,,proprietary,0,30,"(0020350A) Wastewater machines, Samara",,,Moscow,Russia,55.752,37.615,
263,other,FALSE,94.671,25|2|88,,,unknown,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,94,,,proprietary,0,22,"(0020350A) Wastewater machines, Samara",,,Moscow,Russia,55.752,37.615,
264,other,FALSE,95.49300003,25|2|88,,,unknown,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,94,,,proprietary,0,30,"(0020350A) Wastewater machines, Samara",,,Moscow,Russia,55.752,37.615,
265,other,FALSE,69.27399993,25|2|88,,,telecom,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,90,,,proprietary,3,30,Saskatchewan Telecommunications,,,Weyburn,Canada,49.6668,-103.8511,
266,ICS,FALSE,67.0539999,25|2|88,,,telecom,,,,,unknown,0,22,TELUS Communications Inc.,,,Welling,Canada,49.4667,-112.7852,
267,ICS,FALSE,103.1399999,25|2|88,,,telecom,,,,,unknown,0,22,Cellucar subscribers for GGSN RH & YV,,,,Israel,31.5,34.75,
268,ICS,FALSE,87.96700001,25|2|88,,,telecom,,,,,unknown,0,22,"Telefonica de Espana SAU (NCC#2007050901)
Red de servicios IP
Spain",,,Cordova,Spain,37.8916,-4.7727,
269,unknown,FALSE,95.52399993,16428|5546|34176,,,telecom,,,,,unknown,0,25,"Static Corporate Internet Customer
PT Comunicacoes S.A.",,,Lisbon,Portugal,38.7167,-9.1333,
270,ICS,FALSE,100.6589999,25|2|88,,,unknown,Rockwell Automation 1769-L23E-QB1 PLC,86,,,ICS,1,22,,,,Pozzallo,Italy,36.7303,14.8467,
271,ICS,FALSE,81.08500004,25|2|88,,,unknown,Linux 2.6.32,92,,,Linux,0,22,COMMERCE,,,Vitry-sur-Seine,France,48.7872,2.4033,
272,ICS,FALSE,102.543,25|2|88,,,telecom,,,,,unknown,0,22,"Telefonica De Espana SAU (NCC#2000013794)
Red de servicios IP
Spain",,,Albolote,Spain,37.2309,-3.6551,
273,ICS,FALSE,89.65100002,513|65387|65507,,,telecom,Belkin OmniView KVM switch or SMA Sunny WebBox solar panel monitor,98,,,ICS,2,22,LNAUB656 Aubervilliers Bloc 1,,,,France,48.8582,2.3387,
274,other,FALSE,99.98099995,1223|198|409,,,telecom,Blue Coat PacketShaper appliance,85,,,proprietary,1,21,LNAUB658 Aubervilliers Bloc 1,,,,France,48.8582,2.3387,
275,ICS,FALSE,89.26900005,25|2|88,,,telecom,Belkin OmniView KVM switch or SMA Sunny WebBox solar panel monitor,99,,,ICS,1,22,LNPUT656 Puteaux Bloc 1,,,Morsang-sur-Orge,France,48.6618,2.3534,
276,ICS,FALSE,86.5630002,24|2|88,,,telecom,Belkin OmniView KVM switch or SMA Sunny WebBox solar panel monitor,100,,,ICS,0,22,LNMSO656 Montsouris Bloc 2,,,Limeil-Brevannes,France,48.7448,2.487,
277,unknown,FALSE,89.10299993,25|8|0,,,telecom,,,,,unknown,0,22,LNMSO656 Montsouris Bloc 1,,,"La Cadiere-d""Azur",France,43.1954,5.7561,
278,honeypot,FALSE,8.014999866,25|2|88,,,unknown,,,,,unknown,0,27,Stel Core Network,,,Ferrara,Italy,44.8333,11.5833,
279,other,FALSE,92.227,2027|215|11,,,telecom,Motorola RFS 6000 wireless switch,89,,,proprietary,4,27,LNMSO656 Montsouris Bloc 1,,,,France,48.8582,2.3387,
280,ICS,FALSE,88.82199979,25|2|88,,,telecom,Linux 2.6.32 - 2.6.33,94,,,Linux,2,26,LNSTL658 Saint Lambert bloc 2,,,,France,48.8582,2.3387,
281,other,FALSE,87.83599997,25|2|88,,,unknown,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,95,,,proprietary,1,25,Stel Core Network,,,Ferrara,Italy,44.8333,11.5833,
282,unknown,FALSE,91.73100019,25|2|88,,,unknown,,,,,unknown,0,30,Stel Core Network,,,Ferrara,Italy,44.8333,11.5833,
283,unknown,FALSE,93.29100013,25|2|88,,,unknown,,,,,unknown,0,22,Stel Core Network,,,Ferrara,Italy,44.8333,11.5833,
284,unknown,FALSE,107.3529999,25|2|88,,,unknown,,,,,unknown,0,30,'C.C.C.' CANTIERI COSTRUZIONI CEMENTO S.P.A.,,,San Donà di Piave,Italy,45.6302,12.5681,
285,unknown,FALSE,117.053,25|2|88,,,unknown,,,,,unknown,0,30,Stel Core Network,,,Ferrara,Italy,44.8333,11.5833,
286,unknown,FALSE,98.26600003,0|0|0,,,telecom,,,,,unknown,0,26,Aptus Broadband Carlow,,,Carlow,Ireland,52.8408,-6.9261,
287,unknown,FALSE,80.13400006,25|2|88,,,unknown,Linux 2.6.32,93,,,Linux,0,24,F7285-00001-001,,,Paris,France,48.8628,2.3292,
288,unknown,FALSE,89.46199989,25|2|88,,,unknown,,,,,unknown,0,30,,,,Turin,Italy,45.0705,7.6868,
289,ICS,FALSE,104.7409999,25|2|88,,,telecom,Linux 2.6.16 - 2.6.28,95,,,Linux,0,26,TURKCELL INTERNET,,,,Turkey,41.0214,28.9948,
290,unknown,FALSE,103.888,25|2|88,,,telecom,Linux 2.6.16 - 2.6.28,99,,,Linux,3,22,TURKCELL INTERNET,,,,Turkey,41.0214,28.9948,
291,other,FALSE,112.7249999,25|2|88,,,unknown,AVM FRITZ!Box FON WLAN 7170 WAP,97,,,proprietary,2,22,,,,,Turkey,41.0214,28.9948,
292,unknown,FALSE,110.6430001,25|2|88,,,telecom,Linux 2.4.20,95,,,Linux,0,26,TURKCELL INTERNET,,,,Turkey,41.0214,28.9948,
293,other,FALSE,104.6790001,25|2|88,,,telecom,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,92,,,proprietary,0,27,TURKCELL INTERNET,,,,Turkey,41.0214,28.9948,
294,ICS,FALSE,88.49500012,2020|12|29,,,telecom,AVtech Room Alert 26W environmental monitor,86,,,ICS,1,22,"PT Prime - Solucoes Empresariais
Corporate Internet Service Provider
Static Point to Point Customer  Links",,,,Portugal,38.7139,-9.1394,
295,other,FALSE,89.5389998,13824|1064|4649,,,telecom,OpenWrt Kamikaze 8.09.1 (Linux 2.4.35.4),92,,,proprietary,5,23,"MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
Corporate Internet Service Provider
Static Point to Point Customer Links",,,Cacem,Portugal,38.767,-9.2979,
296,unknown,FALSE,90.68199992,2459|64206|10,,,telecom,,,,,unknown,0,23,LNMSO655 Montsouris Bloc 2,,,,France,48.8582,2.3387,
297,ICS,FALSE,89.82400012,25|2|88,,,telecom,,,,,unknown,0,22,LNMSO655 Montsouris Bloc 2,,,,France,48.8582,2.3387,
298,unknown,FALSE,89.97099996,637|156|2241,,,telecom,,,,,unknown,0,30,LNMSO655 Montsouris Bloc 2,,,,France,48.8582,2.3387,
299,unknown,FALSE,97.14899993,126|0|88,,,telecom,,,,,unknown,0,30,LNAUB656 Aubervilliers Bloc 2,,,,France,48.8582,2.3387,
300,ICS,FALSE,87.671,25|2|88,,,telecom,,,,,unknown,0,22,LNMSO655 Montsouris Bloc 2,,,,France,48.8582,2.3387,
301,ICS,FALSE,100.26,25|2|88,,,telecom,,,,,unknown,0,23,LNNLY657 Neuilly Bloc 2,,,Saint-Sauveur-de-Montagut,France,44.8214,4.5799,
302,ICS,FALSE,87.40999985,0|0|0,,,telecom,Belkin OmniView KVM switch or SMA Sunny WebBox solar panel monitor,98,,,ICS,2,23,LNMSO655 Montsouris Bloc 1,,,,France,48.8582,2.3387,
303,ICS,FALSE,88.55200005,154|10|65425,,,telecom,Belkin OmniView KVM switch or SMA Sunny WebBox solar panel monitor,100,,,ICS,0,20,LNAUB658 Aubervilliers Bloc 2,,,Le Bourget,France,48.9341,2.4358,
304,ICS,FALSE,91.05099988,151|27|179,,,telecom,Belkin OmniView KVM switch or SMA Sunny WebBox solar panel monitor,98,,,ICS,1,30,LNMSO655 Montsouris Bloc 1,,,Bourges,France,47.0833,2.4,
305,unknown,FALSE,85.5309999,0|0|0,,,telecom,,,,,unknown,0,30,LNSTL658 Saint Lambert bloc 1,,,,France,48.8582,2.3387,
306,unknown,FALSE,90.5539999,404|31|77,,,telecom,,,,,unknown,0,23,LNNLY657 Neuilly Bloc 2,,,,France,48.8582,2.3387,
307,unknown,FALSE,83.58299994,1024|0|4,Orange S.A.,Orange S.A.,telecom,,,,vpn,unknown,0,22,LNMSO658 Montsouris Bloc 1,wanadoo.fr,lmontsouris-658-1-54-27.w80-13.abo.wanadoo.fr,,France,48.8582,2.3387,"CVE-2020-1934,CVE-2021-34798,CVE-2020-35452,CVE-2022-29404,CVE-2022-22721,CVE-2022-22720,CVE-2022-28330,CVE-2020-11993,CVE-2020-13938,CVE-2021-44224,CVE-2021-33193,CVE-2006-20001,CVE-2019-10092,CVE-2019-17567,CVE-2022-31813,CVE-2019-10098,CVE-2022-37436,CVE-2021-39275,CVE-2021-40438,CVE-2021-36160,CVE-2022-23943,CVE-2020-1927,CVE-2022-36760,CVE-2023-25690,CVE-2020-9490,CVE-2020-11984,CVE-2021-44790,CVE-2021-26690,CVE-2021-26691,CVE-2022-26377,CVE-2022-28614,CVE-2019-10081,CVE-2019-9517,CVE-2019-10082,CVE-2022-22719,CVE-2022-28615,CVE-2022-30556,CVE-2023-27522"
308,ICS,FALSE,88.15999985,25|2|88,,,telecom,Linux 3.2 - 3.8,100,,,Linux,0,23,LNPUT658 Puteaux Bloc 1,,,,France,48.8582,2.3387,
309,unknown,FALSE,127.6329999,0|0|0,,,telecom,Linux 3.10 - 3.12,95,,,Linux,2,26,LNMSO657 Montsouris Bloc 1,,,,France,48.8582,2.3387,
310,unknown,FALSE,90.85100007,1514|238|16,Orange S.A.,Orange S.A.,telecom,,,,,unknown,0,22,LNPUT658 Puteaux Bloc 2,wanadoo.fr,lputeaux-658-1-35-155.w80-13.abo.wanadoo.fr,,France,48.8582,2.3387,
311,ICS,FALSE,85.57299995,739|593|65392,Orange S.A.,Orange S.A.,telecom,Linux 2.6.32 - 2.6.33,100,,ics,Linux,1,23,LNPUT657 Puteaux Bloc 2,wanadoo.fr,lputeaux-657-1-70-51.w80-13.abo.wanadoo.fr,,France,48.8582,2.3387,
312,ICS,FALSE,88.84700012,1386|62|4,Orange S.A.,LNAUB658 Aubervilliers,telecom,Belkin OmniView KVM switch or SMA Sunny WebBox solar panel monitor,100,,ics,ICS,2,30,LNAUB659 Aubervilliers bloc 2,wanadoo.fr,laubervilliers-659-1-47-57.w80-13.abo.wanadoo.fr,,France,48.8582,2.3387,
313,ICS,FALSE,90.25900006,789|85|11,Orange S.A.,LNAUB658 Aubervilliers,telecom,,,,ics,unknown,0,26,LNAUB659 Aubervilliers bloc 1,wanadoo.fr,laubervilliers-659-1-50-146.w80-13.abo.wanadoo.fr,,France,48.8582,2.3387,
314,ICS,FALSE,88.67299986,64853|219|88,Orange S.A.,Orange S.A.,telecom,,,,"ics,self-signed",unknown,0,27,LNSTL658 Saint Lambert bloc 2,wanadoo.fr,lstlambert-658-1-214-165.w80-13.abo.wanadoo.fr,,France,48.8582,2.3387,
315,ICS,FALSE,86.80500007,13096|3|16764,Orange S.A.,LNPUT657 Puteaux,telecom,Microsoft Windows Server 2008 or 2008 Beta 3,100,Windows,ics,Windows,1,22,LNSTL657 Saint Lambert Bloc 1,wanadoo.fr,laubervilliers-656-1-25-46.w80-13.abo.wanadoo.fr,,France,48.8582,2.3387,"CVE-2010-2730,CVE-2010-3972,CVE-2010-1899"
316,ICS,FALSE,89.88000011,25|2|88,Orange S.A.,LNPUT657 Puteaux,telecom,,,,,unknown,0,27,LNSTL657 Saint Lambert Bloc 1,wanadoo.fr,laubervilliers-656-1-40-253.w80-13.abo.wanadoo.fr,,France,48.8582,2.3387,
317,ICS,FALSE,87.44599986,65500|216|998,Orange S.A.,Orange S.A.,telecom,,,,ics,unknown,0,27,LNPUT658 Puteaux Bloc 1,wanadoo.fr,lputeaux-658-1-110-187.w80-13.abo.wanadoo.fr,Champien,France,49.6951,2.8614,
318,ICS,FALSE,86.72900009,25|2|88,Orange S.A.,LNPUT657 Puteaux,telecom,Belkin OmniView KVM switch or SMA Sunny WebBox solar panel monitor,99,,ics,ICS,1,27,LNSTL657 Saint Lambert Bloc 1,wanadoo.fr,laubervilliers-656-1-136-233.w80-14.abo.wanadoo.fr,,France,48.8582,2.3387,
319,ICS,FALSE,85.96199989,25|2|88,,,telecom,,,,,unknown,0,27,LNSTL656 St Lambert Bloc 2,,,,France,48.8582,2.3387,
320,ICS,FALSE,92.55100012,25|2|88,Orange S.A.,LNPUT657 Puteaux,telecom,,,,ics,unknown,0,27,LNSTL657 Saint Lambert Bloc 1,wanadoo.fr,laubervilliers-656-1-140-95.w80-14.abo.wanadoo.fr,,France,48.8582,2.3387,
321,ICS,FALSE,91.11999989,332|65431|65504,Orange S.A.,Orange S.A.,telecom,,,,ics,unknown,0,27,LNPUT658 Puteaux Bloc 1,wanadoo.fr,lputeaux-658-1-154-249.w80-14.abo.wanadoo.fr,,France,48.8582,2.3387,
322,ICS,FALSE,90.10100007,24|2|88,Orange S.A.,LNAUB657 Aubervilliers,telecom,,,,ics,unknown,0,27,LNSTL656 St Lambert Bloc 1,wanadoo.fr,laubervilliers-657-1-78-11.w80-14.abo.wanadoo.fr,,France,48.8582,2.3387,
323,ICS,FALSE,92.52099991,29687|411|65446,Orange S.A.,LNAUB657 Aubervilliers,telecom,,,,ics,unknown,0,27,LNSTL656 St Lambert Bloc 1,wanadoo.fr,laubervilliers-657-1-146-176.w80-14.abo.wanadoo.fr,Champagnier,France,45.1129,5.7265,
324,ICS,FALSE,89.95900011,1|1|0,Orange S.A.,LNPUT658 Puteaux,telecom,,,,ics,unknown,0,30,LNMSO656 Montsouris Bloc 1,wanadoo.fr,lmontsouris-656-1-60-130.w80-15.abo.wanadoo.fr,,France,48.8582,2.3387,
325,ICS,FALSE,89.954,25|2|88,,,telecom,,,,,unknown,0,27,LNMSO656 Montsouris Bloc 1,,,,France,48.8582,2.3387,
326,ambiguous,FALSE,83.52399993,5020|4980|494,,,telecom,Linux 2.6.32 - 2.6.33,98,,,Linux,1,30,LNPUT657 Puteaux Bloc 2,,,,France,48.8582,2.3387,
327,ICS,FALSE,87.60100007,267|173|1061,Orange S.A.,LNAUB657 Aubervilliers,telecom,,,,ics,unknown,0,26,LNMSO657 Montsouris Bloc 1,wanadoo.fr,lmontsouris-657-1-103-8.w80-15.abo.wanadoo.fr,,France,48.8582,2.3387,
328,ICS,FALSE,86.71899986,25|2|72,Orange S.A.,LNPUT658 Puteaux,telecom,Microsoft Windows Server 2008 or 2008 Beta 3,99,,"ics,vpn",Windows,1,26,LNMSO656 Montsouris Bloc 1,wanadoo.fr,lmontsouris-656-1-236-243.w80-15.abo.wanadoo.fr,Antony,France,48.75,2.3,
329,other,FALSE,87.64199996,24|2|88,,,telecom,Apple AirPort Extreme WAP,92,,,proprietary,2,26,LNAUB658 Aubervilliers Bloc 1,,,,France,48.8582,2.3387,
330,other,FALSE,86.64100003,14|61|15,,,telecom,DYMO LabelManager Wireless PNP printer,86,,,proprietary,2,27,LNAUB658 Aubervilliers Bloc 1,,,,France,48.8582,2.3387,
331,ICS,FALSE,87.40200019,419|158|37,,,telecom,Belkin OmniView KVM switch or SMA Sunny WebBox solar panel monitor,98,,,ICS,1,30,LNMSO656 Montsouris Bloc 1,,,,France,48.8582,2.3387,
332,ICS,FALSE,87.3920002,154|147|407,,,telecom,Belkin OmniView KVM switch or SMA Sunny WebBox solar panel monitor,99,,,ICS,1,30,LNMSO656 Montsouris Bloc 1,,,,France,48.8582,2.3387,
333,ICS,FALSE,97.62400007,25|2|88,,,telecom,Linux 3.2 - 3.8,92,,,Linux,2,30,LNMSO656 Montsouris Bloc 1,,,,France,48.8582,2.3387,
334,ICS,FALSE,108.5880001,25|2|88,,,unknown,,,,,unknown,0,21,Red de servicios IP,,,Sant Just Desvern,Spain,41.386,2.0757,
335,unknown,FALSE,87.36100006,8|40|0,,,telecom,,,,,unknown,1,30,OBS Customer,,,,France,48.8582,2.3387,
336,other,FALSE,94.75699997,36|229|5013,,,telecom,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,97,,,proprietary,1,25,"Telia Lietuva, AB",,,Vilnius,Republic of Lithuania,54.6833,25.3167,
337,unknown,FALSE,88.796,26|65472|19,,,telecom,,,,,unknown,0,30,LNAUB656 Aubervilliers Bloc 2,,,,France,48.8582,2.3387,
338,other,FALSE,88.10800004,0|0|0,,,telecom,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,100,,,proprietary,0,30,LNAUB656 Aubervilliers Bloc 2,,,Levallois-Perret,France,48.8939,2.2886,
339,ICS,FALSE,89.52100015,25|2|88,,,telecom,,,,,unknown,0,22,LNMSO657 Montsouris Bloc 2,,,,France,48.8582,2.3387,
340,unknown,FALSE,90.2420001,438|64038|52953,,,telecom,,,,,unknown,0,22,LNMSO657 Montsouris Bloc 1,,,Cannes,France,43.5513,7.0128,
341,ICS,FALSE,92.04500008,25|2|88,,,telecom,,,,,unknown,2,22,LNNAUB656 Aubervilliers Bloc 1,,,,France,48.8582,2.3387,
342,unknown,FALSE,89.69099998,0|0|0,,,telecom,,,,,unknown,0,22,LNNAUB656 Aubervilliers Bloc 2,,,,France,48.8582,2.3387,
343,ICS,FALSE,85.25900006,25|2|88,,,telecom,,,,,unknown,0,29,LNMSO656 Montsouris Bloc 1,,,,France,48.8582,2.3387,
344,other,FALSE,88.11399984,0|65535|0,,,telecom,Apple AirPort Extreme WAP,91,,,proprietary,0,30,LNMSO656 Montsouris Bloc 2,,,,France,48.8582,2.3387,
345,unknown,FALSE,88.64199996,25|2|88,,,telecom,Linux 3.11 - 4.1,100,,,Linux,0,23,LNPUT656 Puteaux Bloc 1,,,,France,48.8582,2.3387,
346,other,FALSE,89.58699989,0|0|0,,,telecom,Brother MFC-J6510DW printer,88,,,proprietary,1,26,LNAUB656 Aubervilliers,,,Fresnes,France,48.7557,2.3224,
347,unknown,FALSE,108.4560001,5632|837|4649,,,telecom,Linux 3.11 - 4.1,89,,,Linux,1,28,LNPUT656 Puteaux Bloc 1,,,,France,48.8582,2.3387,
348,ICS,FALSE,96.23600006,25|2|88,,,telecom,,,,,unknown,0,21,"TELENOVELDA, Infraestructure Access Network",,,Novelda,Spain,38.3848,-0.7677,
349,other,FALSE,99.977,25|2|88,,,telecom,Apple AirPort Extreme WAP,92,,,proprietary,1,27,"TELENOVELDA, Infraestructure Access Network",,,Novelda,Spain,38.3848,-0.7677,
350,unknown,FALSE,93.64499998,8704|837|4649,,,unknown,,,,,unknown,0,30,"LA VERRERIE
83136
NEOULES",,,,France,48.8582,2.3387,
351,unknown,FALSE,92.82999992,25|2|88,,,unknown,Linux 2.6.32,86,,,Linux,0,21,,,,Mindszent,Hungary,46.5333,20.2,
352,ICS,FALSE,108.3759999,25|2|88,,,telecom,Linux 3.2,92,,,Linux,1,25,SzemerNet Kft.,,,,Hungary,47.4925,19.0514,
353,ICS,FALSE,93.05200005,25|2|88,,,telecom,,,,,unknown,0,24,POLESINE ACQUE public subnet,,,Mestrino,Italy,45.4414,11.7593,
354,ICS,FALSE,88.85599995,25|2|88,,,telecom,Linux 3.3,92,,,Linux,1,20,LA Wireless Network,,,Chignolo Po,Italy,45.1482,9.4816,
355,ICS,FALSE,91.29099989,25|2|88,,,telecom,,,,,unknown,0,23,"Infraestructura Red y Servicios IP
Comunitel Global S.A.",,,Elche,Spain,38.2622,-0.7011,
356,unknown,FALSE,93.97399998,36490|18199|56589,,,telecom,Microsoft Windows XP Home SP1 (French),91,,,Windows,0,30,Comuni Riuniti XL s.r.l. - PPPoE customers and they services -,,,Bioglio,Italy,45.6167,8.1333,
357,other,FALSE,55.64299989,2072|32768|32,,,telecom,Motorola SURFboard SB5100i cable modem,93,,,proprietary,0,21,"CHTD, Chunghwa Telecom Co.,Ltd.
Data-Bldg.6F, No.21, Sec.1, Hsin-Yi Rd.
Taipei Taiwan 100",,,Taipei,Taiwan,25.0478,121.5318,
358,unknown,FALSE,270.0799999,0|0|0,,,unknown,,,,,unknown,7,30,Iceberk,,,,Turkey,41.0214,28.9948,
359,ICS,FALSE,103.1819999,25|2|88,,,telecom,FreeBSD 6.2-RELEASE,91,,,Unix,0,30,FREE TECHNOLOGIES EXCOM SL,,,Quintanar de la Orden,Spain,39.5937,-3.0417,
360,unknown,FALSE,82.24500012,40960|18043|88,,,unknown,,,,,unknown,0,23,"SC VIO-NET SRL
17A,M.A.SAGUNA
Buzias,Timis",,,,Romania,46,25,
361,ICS,FALSE,78.60899997,25|2|88,,,telecom,,,,,unknown,0,23,Bell Canada,,,Calgary,Canada,51.1467,-114.3133,
362,ICS,FALSE,91.03999996,25|2|88,,,unknown,Linux 3.2 - 3.8,100,,,Linux,1,23,Select System Infrastructure of Sumperk region,,,Hanusovice,Czechia,50.0833,16.95,
363,unknown,FALSE,93.3039999,471|2|88,,,telecom,Linux 3.8,88,,,Linux,1,30,LNPUT658 Puteaux Bloc 1,,,,France,48.8582,2.3387,
364,other,FALSE,103.5949998,25|2|88,,,telecom,ZyXEL ZyWALL 2 firewall or Prestige 660HW-61 ADSL router (ZyNOS 3.62),91,,,proprietary,3,30,LNNAUB656 Aubervilliers Bloc 1,,,Collegien,France,48.8357,2.6736,
365,other,FALSE,91.12699986,0|2444|0,,,unknown,DYMO LabelManager Wireless PNP printer,93,,,proprietary,0,30,,,,Fadd,Hungary,46.4667,18.8333,
366,unknown,FALSE,95.76499987,25|2|88,,,unknown,,,,,unknown,0,29,"RUE DE L ANDRAYE
73220
EPIERRE",,,,France,48.8582,2.3387,
367,other,FALSE,102.783,25|2|88,,,industry,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,94,,,proprietary,0,29,"(0020350A) Wastewater machines, Samara",,,Moscow,Russia,55.752,37.615,
368,other,FALSE,103.352,25|2|88,,,industry,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,94,,,proprietary,0,30,"(0020350A) Wastewater machines, Samara",,,Moscow,Russia,55.752,37.615,
369,ICS,FALSE,70.48000002,25|2|88,,,telecom,,,,,unknown,0,30,Agri-Valley Services Corporation,,,Sandusky,United States,43.4201,-82.8577,
370,unknown,FALSE,67.17499995,0|0|0,,,telecom,,,,,unknown,0,30,"Comcast Cable Communications, LLC",,,Eighty Four,United States,40.1756,-80.1055,
371,ICS,FALSE,100.0280001,25|2|88,,,telecom,,,,,unknown,0,23,"Telefonica de Espana SAU (NCC#2007050901)
Red de servicios IP
Spain",,,El Vendrell,Spain,41.2167,1.5333,
372,unknown,FALSE,106.0550001,0|0|0,,,telecom,,,,,unknown,0,30,TURKCELL INTERNET,,,,Turkey,41.0214,28.9948,
373,unknown,FALSE,95.34700012,13107|16929|0,,,unknown,OpenBSD 4.0,88,,,Unix,0,27,,,,Rome,Italy,41.9,12.4833,
374,ICS,FALSE,89.35299993,25|2|88,,,telecom,Linux 4.0,90,,,Linux,1,30,LNMSO657 Montsouris Bloc 1,,,,France,48.8582,2.3387,
375,unknown,FALSE,92.74099994,1|1|88,,,telecom,Microsoft Windows Server 2008 R2 SP1,90,,,Windows,2,30,LNMSO656 Montsouris Bloc 1,,,Saint-Pierre-des-Corps,France,47.3862,0.7485,
376,unknown,FALSE,99.88199997,25|2|88,,,unknown,,,,,unknown,0,21,Red de servicios IP,,,Madrid,Spain,40.4167,-3.6838,
377,unknown,FALSE,101.527,25|2|88,,,unknown,,,,,unknown,1,28,Red de servicios IP,,,Málaga,Spain,36.7202,-4.4203,
378,ICS,FALSE,92.29200006,25|2|88,,,telecom,,,,,unknown,0,23,LNMSO657 Montsouris Bloc 1,,,Paris,France,48.8628,2.3292,
379,honeypot,FALSE,89.2190001,0|0|0,,,telecom,Microsoft Windows 7 Professional,93,,"ics,vpn,self-signed",Windows,3,27,xDSL Single User Pool,,,Trento,Italy,46.0667,11.1333,
380,ambiguous,FALSE,93.30299997,25|2|88,,,telecom,,,,,unknown,3,28,LNMSO655 Montsouris Bloc 2,,,,France,48.8582,2.3387,
381,ICS,FALSE,106.102,25|2|88,,,telecom,,,,,unknown,0,30,OBS Customer,,,,France,48.8582,2.3387,
382,unknown,FALSE,65.25,25|2|88,,,unknown,,,,,unknown,0,22,Static IP Addresses for Internet Services,,,Si Racha,Thailand,13.1667,100.9333,
383,other,FALSE,89.82200003,25|2|88,,,telecom,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,93,,,proprietary,0,28,LNMSO657 Montsouris Bloc 1,,,,France,48.8582,2.3387,
384,unknown,FALSE,84.81099987,26214|16904|13107,,,unknown,,,,,unknown,0,23,"RTE DE RUOMS
07150
VALLON PONT D ARC",,,,France,48.8582,2.3387,
385,unknown,FALSE,89.93200016,23426|24921|11816,,,telecom,,,,,unknown,0,22,"SiOL d.o.o. (Slovenia Online)
ISP in Slovenia
Cigaletova 15
1000 Ljubljana, Slovenia",,,Ljubljana,Slovenia,46.0511,14.5051,
386,other,FALSE,98.07500005,25|2|88,,,unknown,Canon imageRUNNER C2380 or C2880i or Xerox Phaser 8860MFP printer,94,,,proprietary,0,25,"(0020350A) Wastewater machines, Samara",,,Moscow,Russia,55.752,37.615,
387,ICS,FALSE,89.9920001,25|2|88,,,telecom,,,,,unknown,0,22,Spoldzielnia Telekomunikacyjna OST,,,Tyczyn,Poland,49.9621,22.0327,
388,other,FALSE,97.95799994,595|0|1,,,telecom,Grandstream GXV3275 video phone,91,,,proprietary,1,22,"Telefonica de Espana SAU
Red de servicios IP
Spain
144 - 148: NCC # 2001038578
149 - 151: NCC # 2001039691",,,Madrid,Spain,40.4167,-3.6838,
