ip (hidden),isHoneypot_new,IsCloud_old,IpwhoisNetsDescription,ISP_conclusion,OS_old,OS_accuracy,os_Shodan,tags_Shodan,OS_conclusion,OpenPortNum,hopNum,atgSUPER,atgUNLEAD,atgDIESEL,atgPREMIUM,atgTwoTimesCompare,domains_Shodan,hostnames_Shodan,isp_Shodan,org_Shodan,atgProduct1FirstTimeVolumeTC,atgProduct1SecondTimeVolumeTC,atgProduct1FirstTimeULLAGE,atgProduct1SecondTimeULLAGE,atgProduct2FirstTimeVolumeTC,atgProduct2SecondTimeVolumeTC,atgProduct2FirstTimeULLAGE,atgProduct2SecondTimeULLAGE,atgProduct3FirstTimeVolumeTC,atgProduct3SecondTimeVolumeTC,atgProduct3FirstTimeULLAGE,atgProduct3SecondTimeULLAGE,atgProduct4FirstTimeVolumeTC,atgProduct4SecondTimeVolumeTC,atgProduct4FirstTimeULLAGE,atgProduct4SecondTimeULLAGE,city,country,latitude,longitude,vulns_Shodan
292,honeypot,FALSE,,hosting,Linux 2.6.32 or 3.10,89,,"database,doublepulsar,medical,self-signed,honeypot,vpn",Linux,7,16,1,1,1,0,FALSE,"example.com,yourvserver.net","v22015072921326575.yourvserver.net,example.com",netcup GmbH,netcup GmbH,7948,4054,3617,6184,6682,6755,8528,6807,2703,7781,6384,6000,8925,4493,6384,6000,,Germany,51.2993,9.491,MS17-010
293,honeypot,FALSE,,hosting,Linux 2.6.32,89,,,Linux,7,23,1,1,1,0,FALSE,,,netcup GmbH,netcup GmbH,4002,1343,8154,7690,2671,5426,9820,8811,2916,3180,6440,6344,4312,1307,6440,6344,,Germany,51.2993,9.491,
294,honeypot,FALSE,"Mammoth Media Pty Ltd
BTP HUB, Level 1 Suite 3
10 Station Avenue",VPS,Linux 2.6.32,96,,,Linux,6,16,1,1,1,0,FALSE,bnr.la,minimum-macro.bnr.la,Mammoth Media Pty Ltd,Mammoth Media Pty Ltd,6221,6783,8348,6307,8523,5047,8546,4550,7086,8470,3783,5677,5283,4956,3783,5677,,Australia,-33.494,143.2104,"CVE-2018-20685,CVE-2017-15906,CVE-2021-36368,CVE-2020-14145,CVE-2018-15473,CVE-2020-15778,CVE-2021-41617,CVE-2023-28531,CVE-2018-15919,CVE-2016-20012,CVE-2019-6110,CVE-2019-6111,CVE-2019-6109"
295,honeypot,FALSE,"Comcast Cable Communications, LLC",telecom,Linux 2.6.32,93,,"honeypot,vpn,self-signed,medical,database",Linux,7,30,1,1,1,0,FALSE,"comcastbusiness.net,example.com","example.com,50-211-142-204-static.hfc.comcastbusiness.net","Comcast Cable Communications, LLC","Comcast Cable Communications, LLC",6672,8875,3864,8254,2608,4809,5285,3519,1778,8483,4354,8608,4100,7548,4354,8608,,United States,37.751,-97.822,
296,honeypot,FALSE,Shaw Communications Inc.,telecom,Linux 2.6.32,96,,"doublepulsar,honeypot,vpn,self-signed,database",Linux,7,22,1,1,1,0,FALSE,"shawcable.net,example.com","example.com,S01061831bfe20070.cg.shawcable.net",Shaw Communications Inc.,Shaw Communications Inc.,6262,0,6320,0,3475,0,9873,0,6821,0,7201,0,6182,0,7201,0,Calgary,Canada,51.0823,-113.9578,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,MS17-010,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
297,honeypot,FALSE,TransIP BV,hosting,Linux 2.6.32,96,,"database,self-signed,starttls",Linux,2,26,1,1,1,0,FALSE,transip.net,31-14-96-215.colo.transip.net,Signet B.V.,TransIP BV,5235,8564,5572,4462,7777,4566,4279,9684,5392,1021,7324,9294,1266,5164,7324,9294,,Netherlands,52.3824,4.8995,
298,other,FALSE,TMNET,telecom,Fortinet FortiGate 100D firewall,91,,,proprietary,0,26,1,1,1,0,FALSE,,,,,6167,8618,6198,5219,4921,5216,8307,5407,5420,4922,3103,3663,1969,7264,3103,3663,Kuala Lumpur,Malaysia,3.134,101.6873,
299,honeypot,FALSE,Assigned to customer 1378,hosting,Linux 4.4,100,,"doublepulsar,honeypot,vpn,self-signed,database",Linux,6,20,1,1,1,0,FALSE,"example.com,true.nl","honeypot.true.nl,example.com",True B.V.,True B.V.,6089,4254,8365,5138,5462,7149,7861,8196,6505,4418,7384,5744,1420,1701,7384,5744,,Netherlands,52.3824,4.8995,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,MS17-010,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
300,honeypot,FALSE,Huawei South Africa Clouds,cloud,Linux 2.6.32,96,,"honeypot,vpn,self-signed,database",Linux,7,23,1,1,1,0,FALSE,"hwclouds-dns.com,example.com","ecs-159-138-167-190.compute.hwclouds-dns.com,example.com",HUAWEI CLOUDS,Huawei South Africa Clouds,1126,4042,7633,6578,1981,4557,9741,9766,3129,3005,4845,6669,2864,7331,4845,6669,,Singapore,1.3667,103.8,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
301,honeypot,FALSE,"RendszerNET Kft.
1132 Budapest, Victor Hugo utca 11-15.",unknown,Linux 2.6.32,96,,,Linux,7,25,1,1,1,0,FALSE,,,,,8302,2352,8528,3326,4938,4776,9476,8643,5346,2601,8653,8521,7990,3173,8653,8521,Balatonbereny,Hungary,46.7167,17.3167,
302,ICS,FALSE,"Buckeye Cablevision, Inc.",telecom,Linux 3.2,100,,"ics,self-signed",Linux,0,30,0,0,1,1,TRUE,buckeyecom.net,cm-72-240-120-54.buckeyecom.net,"Buckeye Cablevision, Inc.",BUCKEYE TELESYSTEM,9422,14663,10529,5288,2735,2651,1286,1370,5707,5586,2089,2210,0,0,0,0,Toledo,United States,41.65,-83.6741,
303,ICS,FALSE,"Comcast Cable Communications, LLC",telecom,,,,,unknown,0,20,0,0,0,1,TRUE,,,,,1347,999,6653,7001,3507,2077,2568,3998,3083,1679,2992,4396,0,0,0,0,Rockville,United States,39.0892,-77.1835,
304,ICS,FALSE,Digicel Jamaica,telecom,Linux 3.2,94,,"ics,self-signed",Linux,2,21,0,0,1,1,TRUE,,,Digicel Cayman Limited,Digicel Cayman Limited,1501,1501,3495,3495,1383,1361,3613,3635,0,0,0,0,0,0,0,0,George Town,Cayman Islands,19.3,-81.3833,
305,ICS,FALSE,AT&T Corp.,telecom,,,,ics,unknown,0,24,0,0,0,1,TRUE,sbcglobal.net,99-148-90-125.lightspeed.dttnmi.sbcglobal.net,"AT&T Services, Inc.",AT&T Corp.,9593,5493,5407,9507,2124,1967,2876,3033,0,0,0,0,0,0,0,0,Flint,United States,42.9619,-83.7204,
306,other,FALSE,AT&T Corp.,telecom,HP Brocade 4Gb SAN switch or,96,,ics,proprietary,1,24,0,0,0,1,TRUE,sbcglobal.net,99-145-214-247.lightspeed.jcvlfl.sbcglobal.net,"AT&T Services, Inc.",AT&T Corp.,2947,2751,3100,3296,2721,5108,5457,3070,0,0,0,0,0,0,0,0,,United States,37.751,-97.822,
307,ICS,FALSE,AT&T Corp.,telecom,Linux 2.6.32,87,,,Linux,0,30,0,1,0,1,TRUE,,,,,4036,8173,7933,3796,1784,3262,8263,6785,0,0,0,0,0,0,0,0,Homestead,United States,25.4903,-80.4187,
308,ICS,FALSE,AT&T Corp.,telecom,,,,,unknown,0,26,0,0,0,1,TRUE,,,,,10791,10588,8912,9115,3878,2141,11098,12835,0,0,0,0,0,0,0,0,Delray Beach,United States,26.4541,-80.1041,
309,ICS,FALSE,"CenturyLink Communications, LLC",telecom,Microsoft Windows Server 2008 or 2008 Beta 3,100,,,Windows,0,29,0,0,0,1,TRUE,,,,,6202,3497,3825,6530,3744,3452,4278,4570,0,0,0,0,0,0,0,0,Grimesland,United States,35.5088,-77.199,
310,ICS,FALSE,"CABLE ONE, INC.",telecom,,,,ics,unknown,1,30,0,1,0,1,TRUE,sparklight.net,24-119-145-230.cpe.sparklight.net,"CABLE ONE, INC.","CABLE ONE, INC.",5276,6583,4724,3417,5366,5540,634,460,0,0,0,0,0,0,0,0,Miami,United States,36.8994,-94.8785,
311,ICS,FALSE,Charter Communications Inc,telecom,Linux 3.12 - 4.10,93,,"ics,self-signed",Linux,2,26,0,0,0,1,TRUE,rr.com,rrcs-24-199-154-134.midsouth.biz.rr.com,Charter Communications Inc,Charter Communications Inc,3374,1763,4626,6237,1966,1716,4034,4284,0,0,0,0,0,0,0,0,Raleigh,United States,35.9022,-78.6283,
312,ICS,FALSE,"Comcast Cable Communications, LLC",telecom,Linux 3.2 - 3.8,100,,ics,Linux,1,20,0,0,0,1,TRUE,comcastbusiness.net,96-74-152-94-static.hfc.comcastbusiness.net,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC",6727,4181,5305,7851,1722,1397,10310,10635,0,0,0,0,0,0,0,0,Schiller Park,United States,41.9637,-87.8841,
313,ICS,FALSE,Charter Communications Inc,telecom,,,,,unknown,0,30,0,0,0,1,TRUE,,,,,1188,2438,6759,5509,1402,9201,10573,2774,0,0,0,0,0,0,0,0,,United States,37.751,-97.822,
314,ICS,FALSE,AT&T Corp.,telecom,,,,,unknown,1,26,0,0,0,1,TRUE,sbcglobal.net,107-132-96-13.lightspeed.brhmal.sbcglobal.net,"AT&T Services, Inc.","AT&T Services, Inc.",4275,9077,7756,2954,2987,3814,5041,4214,0,0,0,0,0,0,0,0,,United States,37.751,-97.822,
315,ICS,FALSE,"Comcast Cable Communications, LLC",telecom,Linux 3.2 - 3.8,93,,ics,Linux,2,30,0,0,0,1,TRUE,comcastbusiness.net,75-151-27-222-Michigan.hfc.comcastbusiness.net,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC",5399,3157,6450,8692,2221,2127,5596,5690,0,0,0,0,0,0,0,0,Saline,United States,42.1482,-83.8148,
316,ICS,FALSE,"Cybera, Inc.",ambiguous,,,,ics,unknown,1,29,0,0,0,1,TRUE,dktire.com,host-64-202-135-224.dktire.com,"Cybera, Inc.","Cybera, Inc.",9668,3447,5254,11475,3854,2545,11068,12377,0,0,0,0,0,0,0,0,Covington,United States,33.5968,-83.8602,
317,other,FALSE,WideOpenWest Finance LLC,telecom,Linksys BEFSR41 EtherFast router,91,,"vpn,self-signed",proprietary,1,30,0,0,0,1,TRUE,,,WideOpenWest Finance LLC,"KNOLOGY,  Inc.",9391,7723,5514,7182,3967,3568,5970,6369,0,0,0,0,0,0,0,0,Clearwater,United States,27.9829,-82.7795,CVE-2022-32548
318,ICS,FALSE,"MCI Communications Services, Inc. d/b/a Verizon Business",telecom,Linux 2.4.21 (embedded),100,,ics,ICS,0,23,0,0,0,1,TRUE,verizon.net,static-98-113-83-49.nycmny.fios.verizon.net,Verizon Business,Verizon Business,966,2027,3047,1986,2886,3504,1127,509,0,0,0,0,0,0,0,0,Staten Island,United States,40.5514,-74.1496,
319,other,FALSE,"Comcast Cable Communications, LLC",telecom,DYMO LabelManager Wireless PNP printer,92,,ics,proprietary,0,30,0,0,0,1,TRUE,comcastbusiness.net,96-87-84-170-static.hfc.comcastbusiness.net,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC",9549,5284,1978,6243,2869,2092,6815,7592,0,0,0,0,0,0,0,0,Chicago,United States,41.7105,-87.5645,
320,ICS,FALSE,Static IP Services,unknown,Papouch TME Ethernet thermometer,96,,,ICS,0,30,0,0,1,1,TRUE,,,,,1745,3407,2128,466,2698,2689,1317,1326,0,0,0,0,0,0,0,0,,United States,37.751,-97.822,
321,ICS,FALSE,AT&T Corp.,telecom,,,,,unknown,0,23,0,0,0,1,TRUE,,,,,3158,2117,16545,17586,887,824,8797,8860,0,0,0,0,0,0,0,0,Dickson,United States,36.0643,-87.4302,
322,ICS,FALSE,Suddenlink Communications,telecom,FreeBSD 6.2-RELEASE,86,,,Unix,0,24,0,0,0,1,TRUE,,,,,4892,2504,7012,9400,1913,1751,4407,4569,0,0,0,0,0,0,0,0,College Station,United States,30.567,-96.2837,
323,ICS,FALSE,"Comcast Cable Communications, LLC",telecom,,,,,unknown,0,28,0,0,0,1,TRUE,,,,,11696,9700,3552,5548,3682,3571,8000,8111,0,0,0,0,0,0,0,0,Little Rock,United States,34.7449,-92.3205,
324,ICS,FALSE,WideOpenWest Finance LLC,telecom,,,,,unknown,0,30,0,0,0,1,TRUE,,,,,3981,6872,7864,4973,1728,2329,4194,3593,0,0,0,0,0,0,0,0,South Holland,United States,41.6003,-87.5975,
325,ICS,FALSE,"Comcast Cable Communications, LLC",telecom,,,,ics,unknown,1,23,0,0,0,1,TRUE,comcast.net,c-68-58-195-117.hsd1.mi.comcast.net,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc.",9493,11887,6591,4197,1973,1648,2021,2346,0,0,0,0,0,0,0,0,Flint,United States,43.0658,-83.6921,"CVE-2018-19052,CVE-2015-3200,CVE-2019-11072"
326,ICS,FALSE,"Comcast Cable Communications, LLC",telecom,Papouch TME Ethernet thermometer,94,,ics,ICS,1,30,0,0,0,1,TRUE,comcastbusiness.net,50-249-242-212-static.hfc.comcastbusiness.net,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC",3794,1900,3706,5600,1749,1537,5751,5963,0,0,0,0,0,0,0,0,Skokie,United States,42.0347,-87.7614,
327,ICS,FALSE,"Cybera, Inc.",ambiguous,,,,,unknown,1,29,0,0,0,1,TRUE,,,,,3890,3312,11133,11711,6613,5171,13536,14978,0,0,0,0,0,0,0,0,Covington,United States,33.5968,-83.8602,
328,ICS,FALSE,Static IP Services,unknown,Linux 3.2,100,,,Linux,0,30,0,0,0,1,TRUE,,,,,6102,4382,3462,5182,2393,1612,2538,3319,0,0,0,0,0,0,0,0,,United States,37.751,-97.822,
329,ICS,FALSE,Clearwave Communications,telecom,,,,ics,unknown,0,27,0,1,0,1,TRUE,clearwave.com,157-185-75-54.clearwave.com,Clearwave Communications,Clearwave Communications,7380,6625,4668,5423,1955,1920,2087,2122,0,0,0,0,0,0,0,0,Albion,United States,38.3836,-88.0653,
330,ICS,FALSE,AT&T Corp.,telecom,,,,ics,unknown,0,30,0,0,0,1,TRUE,sbcglobal.net,162-197-251-59.lightspeed.cicril.sbcglobal.net,"AT&T Services, Inc.",riverwest management04082013142553079,6357,2775,5643,9225,1315,933,10685,11067,0,0,0,0,0,0,0,0,Huntley,United States,42.1759,-88.4608,
331,ICS,FALSE,AT&T Corp.,telecom,Linux 3.2,100,,,Linux,1,22,0,0,0,1,TRUE,,,,,7777,3395,4256,8638,2102,1281,9931,10752,0,0,0,0,0,0,0,0,Elmwood Park,United States,41.9232,-87.8057,
332,ICS,FALSE,Service Provider Corporation,telecom,,,,"ics,self-signed",unknown,0,25,0,0,0,1,TRUE,myvzw.com,77.sub-166-141-84.myvzw.com,Verizon Business,Service Provider Corporation,4397,6241,7285,5441,2139,4481,9543,7201,0,0,0,0,0,0,0,0,,United States,37.751,-97.822,
333,ICS,FALSE,Charter Communications,telecom,Papouch TME Ethernet thermometer,88,,,ICS,0,30,0,0,0,1,TRUE,,,,,8732,6530,4848,7050,3397,3218,2924,3103,0,0,0,0,0,0,0,0,Madison,United States,43.0208,-89.36,
334,ICS,FALSE,Cox Communications Inc.,telecom,,,,,unknown,0,21,0,0,0,1,TRUE,,,,,6888,5455,5108,6541,2287,2023,3691,3955,0,0,0,0,0,0,0,0,Cheshire,United States,41.5059,-72.9081,
335,ICS,FALSE,"Comcast Cable Communications, LLC",telecom,Linux 3.2,95,,ics,Linux,1,23,0,0,0,1,TRUE,comcastbusiness.net,50-78-181-94-static.hfc.comcastbusiness.net,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC",5614,4978,6468,7104,9721,7452,2361,4630,0,0,0,0,0,0,0,0,Portland,United States,45.5377,-122.6006,
336,ICS,FALSE,"Southern New England Telephone Company and SNET America, Inc.",telecom,,,,,unknown,0,23,0,0,0,1,TRUE,,,"Southern New England Telephone Company and SNET America, Inc.",Uverse-D Frontier Communications Wallingford - CT,7416,6448,2320,3288,4627,4383,5187,5431,0,0,0,0,0,0,0,0,Waterbury,United States,41.5829,-73.0339,
337,ICS,FALSE,Charter Communications,telecom,,,,,unknown,0,22,0,0,0,1,TRUE,spectrum.com,047-040-196-156.res.spectrum.com,Charter Communications,Charter Communications,2399,908,9633,11124,2965,2914,5150,5201,0,0,0,0,0,0,0,0,Savannah,United States,35.2046,-88.1499,
338,ICS,FALSE,"Cybera, Inc.",ambiguous,Papouch TME Ethernet thermometer,94,,,ICS,0,30,0,0,0,1,TRUE,,,,,4571,5966,6956,5561,3221,2648,8306,8879,0,0,0,0,0,0,0,0,Covington,United States,33.5968,-83.8602,
339,ICS,FALSE,"Cybera, Inc.",ambiguous,,,,,unknown,1,22,0,0,0,1,TRUE,,,,,3713,4390,4308,3631,8229,10378,7813,5664,0,0,0,0,0,0,0,0,Baraboo,United States,43.4807,-89.7399,
340,ICS,FALSE,"Comcast Cable Communications, LLC",telecom,,,,"ics,vpn",unknown,0,30,0,0,0,1,TRUE,comcastbusiness.net,70.89.242-45-BusName-smpls.illinois.hfc.comcastbusiness.net,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC",10777,9550,9123,10350,5891,3168,9009,11732,0,0,0,0,0,0,0,0,Chicago,United States,41.6954,-87.7103,
341,ICS,FALSE,AT&T Corp.,telecom,,,,ics,unknown,0,23,0,0,0,1,TRUE,sbcglobal.net,70-235-81-216.lightspeed.frsnca.sbcglobal.net,"AT&T Services, Inc.",AT&T Corp.,5514,5529,9537,9522,5010,2803,5024,7231,0,0,0,0,0,0,0,0,,United States,37.751,-97.822,
342,ICS,FALSE,,telecom,,,,ics,unknown,0,30,0,1,0,1,TRUE,sbcglobal.net,76-224-222-201.lightspeed.stlsmo.sbcglobal.net,"AT&T Services, Inc.",AT&T Corp.,8366,5654,6738,9450,1698,1395,3455,3758,0,0,0,0,0,0,0,0,St Louis,United States,38.6446,-90.2533,
343,ICS,FALSE,Static IP Services,telecom,,,,ics,unknown,0,30,0,0,0,1,TRUE,optonline.net,ool-60387e8c.static.optonline.net,Cablevision Systems Corp.,Cablevision Systems Corp.,6929,6563,838,1204,3380,3250,4449,4579,0,0,0,0,0,0,0,0,Valley Stream,United States,40.6766,-73.7038,
344,ICS,FALSE,Charter Communications,telecom,Linux 3.2,92,,ics,Linux,1,28,0,0,0,1,TRUE,spectrum.com,097-080-042-150.biz.spectrum.com,Charter Communications,Charter Communications,5663,6365,6370,5668,2762,2953,5134,4943,0,0,0,0,0,0,0,0,Mandeville,United States,30.4184,-90.0069,
345,ICS,FALSE,AT&T Corp.,telecom,,,,ics,unknown,0,24,0,0,0,1,TRUE,sbcglobal.net,99-7-4-206.lightspeed.cicril.sbcglobal.net,"AT&T Services, Inc.",AT&T Corp.,6357,2775,5643,9225,1315,933,10685,11067,0,0,0,0,0,0,0,0,Wheeling,United States,42.1286,-87.9237,
346,ICS,FALSE,AT&T Corp.,telecom,,,,,unknown,0,30,0,0,0,1,TRUE,,,,,5617,4952,2224,2889,8135,4699,3392,6828,0,0,0,0,0,0,0,0,,United States,37.751,-97.822,
347,ICS,FALSE,AT&T Corp.,telecom,,,,,unknown,0,30,0,0,0,1,TRUE,,,,,6185,6852,8791,8124,2828,5563,12148,9413,0,0,0,0,0,0,0,0,San Francisco,United States,37.7441,-122.4839,
348,ICS,FALSE,AT&T Corp.,telecom,,,,,unknown,0,30,0,0,0,1,TRUE,sbcglobal.net,108-204-66-227.lightspeed.bkfdca.sbcglobal.net,"AT&T Services, Inc.",AT&T Corp.,9406,9296,10297,10407,4262,4334,10714,10642,0,0,0,0,0,0,0,0,Bakersfield,United States,35.438,-118.8312,
349,other,FALSE,Mediacom Communications Corporation,telecom,Synology DS209 NAS device (Linux 2.6.32) or Polycom HDX 7000 Touch Control,99,,"ics,self-signed",proprietary,0,22,0,0,0,1,TRUE,mchsi.com,63-142-62-170.client.mchsi.com,Mediacom Communications Corp,Mediacom Communications Corp,3838,1375,4058,6521,1241,999,2707,2949,0,0,0,0,0,0,0,0,Leo-Cedarville,United States,41.2257,-85.0539,
350,ICS,FALSE,AT&T Corp.,telecom,Linux 3.11 - 4.1,98,,,Linux,2,26,0,0,0,1,TRUE,,,,,1340,1061,10692,10971,2887,7116,9145,4916,0,0,0,0,0,0,0,0,,United States,37.751,-97.822,
351,ICS,FALSE,"Comcast Cable Communications, LLC",telecom,,,,,unknown,0,27,0,0,1,1,TRUE,,,,,3520,6953,16262,12829,1032,1365,5289,4956,199,199,6122,6122,0,0,0,0,Tinley Park,United States,41.5696,-87.7994,
352,other,FALSE,"Frontier Communications of America, Inc.",telecom,DD-WRT v24-sp2 (Linux 2.4.36),90,,,proprietary,0,22,0,0,1,1,TRUE,,,,,8318,6323,5733,7728,1377,1305,4623,4695,1449,1259,2687,2877,0,0,0,0,Gaines,United States,42.876,-83.8754,
353,ICS,FALSE,Charter Communications,telecom,,,,ics,unknown,0,24,0,0,1,1,TRUE,spectrum.com,024-197-075-070.biz.spectrum.com,Charter Communications,Charter Communications,2759,2519,5237,5477,3968,8824,7626,2770,2054,2787,1932,1199,0,0,0,0,Athens,United States,34.7675,-87.1057,
354,ICS,FALSE,"CenturyLink Communications, LLC",telecom,,,,,unknown,0,22,0,0,0,1,TRUE,datworx.com,randilyn.datworx.com,"CenturyLink Communications, LLC","CenturyLink Communications, LLC",967,924,1045,1088,3268,2397,6548,7419,1995,1913,5901,5983,0,0,0,0,Omaha,United States,41.2636,-95.9353,
355,ICS,FALSE,Charter Communications Inc,telecom,Linux 2.6.32,91,,,Linux,0,30,0,0,1,1,TRUE,rr.com,rrcs-98-101-106-2.midsouth.biz.rr.com,Charter Communications Inc,Charter Communications Inc,4756,10286,7219,1689,653,3637,7294,4310,1870,1732,4059,4197,0,0,0,0,High Point,United States,36.0162,-80.0434,
356,ICS,FALSE,"Comcast Cable Communications, LLC",telecom,,,,"ics,vpn",unknown,0,23,0,0,1,1,TRUE,comcastbusiness.net,50-196-252-62-static.hfc.comcastbusiness.net,"Comcast Cable Communications, LLC",RIDGEWAY PETROLEUM INC,2289,2034,12686,12941,4361,3662,10614,11313,1827,1254,10173,10746,0,0,0,0,,United States,37.751,-97.822,
357,ICS,FALSE,"Panhandle Telecommunications Systems, INC.",telecom,Linux 2.6.9 - 2.6.27,100,,"ics,self-signed",Linux,0,30,0,0,1,1,TRUE,ptsi.net,67-219-174-21.ptsi.net,"Panhandle Telecommunications Systems, INC.","Panhandle Telecommunications Systems, INC.",7641,7714,6959,6886,2205,2037,1924,2092,3592,4213,2453,1832,0,0,0,0,Beaver,United States,36.7474,-100.4768,"CVE-2015-0204,CVE-2015-4000"
358,ICS,FALSE,AT&T Corp.,telecom,Linux 3.11 - 4.1,100,,,Linux,2,25,0,0,0,1,TRUE,,,,,6041,7489,6024,4576,6031,7488,4122,2665,2842,2565,7311,7588,0,0,0,0,Munster,United States,41.5505,-87.5026,
359,ICS,FALSE,Charter Communications Inc,telecom,Linux 2.6.9 - 2.6.27,100,,"ics,self-signed",Linux,2,25,0,0,1,1,TRUE,rr.com,rrcs-64-183-247-250.sw.biz.rr.com,Charter Communications Inc,Charter Communications Inc,9896,7040,5379,8235,2506,2156,8559,8909,2763,2200,1301,1864,0,0,0,0,Plano,United States,33.02,-96.7419,"CVE-2016-20012,CVE-2017-15906,CVE-2015-6563,CVE-2015-5352,CVE-2015-6564,CVE-2016-0777,CVE-2015-5600,CVE-2014-2653,CVE-2014-2532,CVE-2011-5000,CVE-2014-1692,CVE-2012-0814,CVE-2019-6111,CVE-2019-6110,CVE-2016-1908,CVE-2016-10009,CVE-2018-20685,CVE-2010-5107,CVE-2018-15473,CVE-2020-15778,CVE-2016-10708,CVE-2011-4327,CVE-2015-0204,CVE-2015-4000,CVE-2021-36368,CVE-2010-4478,CVE-2016-10011,CVE-2016-10010,CVE-2016-10012,CVE-2010-4755,CVE-2019-6109"
360,ICS,FALSE,"Frontier Communications of America, Inc.",telecom,,,,,unknown,0,24,0,0,1,1,TRUE,,,,,4437,4250,5247,5434,1216,2246,2940,1910,3155,2449,2843,3549,0,0,0,0,Memphis,United States,42.9321,-82.8028,
361,ICS,FALSE,Charter Communications Inc,telecom,Papouch TME Ethernet thermometer,95,,,ICS,1,23,0,0,1,1,TRUE,,,,,8430,6728,3668,5370,1670,1489,2365,2546,4952,4584,3129,3497,0,0,0,0,Austin,United States,30.3784,-97.8941,
362,other,FALSE,"Comcast Cable Communications, LLC",telecom,Check Point VPN-1 Firewall-1 firewall (Linux 2.6.18),93,,"ics,self-signed",proprietary,2,22,0,0,1,1,TRUE,comcastbusiness.net,173-8-63-178-Jacksonville.hfc.comcastbusiness.net,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC",7951,5150,4049,6850,2416,2309,5584,5691,1923,1534,2077,2466,0,0,0,0,Jacksonville,United States,30.3342,-81.5823,"CVE-2016-20012,CVE-2017-15906,CVE-2015-6563,CVE-2015-5352,CVE-2015-6564,CVE-2016-0777,CVE-2015-5600,CVE-2016-0778,CVE-2014-2532,CVE-2014-1692,CVE-2014-2653,CVE-2020-14145,CVE-2019-6111,CVE-2019-6110,CVE-2016-1908,CVE-2016-10009,CVE-2018-20685,CVE-2010-5107,CVE-2018-15473,CVE-2020-15778,CVE-2016-10708,CVE-2023-28531,CVE-2018-15919,CVE-2021-36368,CVE-2016-10011,CVE-2016-10010,CVE-2016-10012,CVE-2019-6109"
363,ICS,FALSE,"Comcast Cable Communications, LLC",telecom,Papouch TME Ethernet thermometer,87,,ics,ICS,1,21,0,0,1,1,TRUE,comcastbusiness.net,23-25-18-13-static.hfc.comcastbusiness.net,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC",9341,5299,2754,6796,2705,1900,5346,6151,2914,2355,1121,1680,0,0,0,0,Aurora,United States,41.7606,-88.3201,
